source_connector_row_index,nominal_speed_rpm,mean_actual_speed_rpm,load_label_raw,flow_reading_count,mean_flow_gal_per_min,min_flow_gal_per_min,max_flow_gal_per_min,mean_inlet_pressure_psi,mean_outlet_pressure_psi,pressure_rise_psi,flag
2,1250,1249,"0/5",3,0,0,0,1,5,4,""
3,1250,1250,"0.2",2,6.09,6.08,6.1,1,5,4,""
4,1250,1251.5,"0.4",3,12.153333333,12.1,12.2,1,4.8,3.8,""
5,1250,1251,"0.6",3,18.246666667,18.2,18.3,0.9,4,3.1,""
6,1250,1249.5,"0.8",3,24.34,24.3,24.4,0.8,2.4,1.6,""
7,1250,1250,"1",2,30.4,30.4,30.4,0.6,1.8,1.2,""
12,1750,1750.5,"0/5",3,0,0,0,1,8.85,7.85,""
13,1750,1749.5,"0.2",3,8.583333333,8.5,8.65,1,8.85,7.85,""
14,1750,1750.5,"0.4",3,15.62,12.1,17.4,0.9,8.3,7.4,"Flow replicate 3 is 12.1 while replicates 1 and 2 are 17.36 and 17.4; retained exactly."
15,1750,1749.5,"0.6",3,26.046666667,26,26.1,0.8,6.9,6.1,""
16,1750,1750.5,"0.8",3,34.673333333,34.6,34.72,0.7,5.5,4.8,""
17,1750,1750.5,"5/5",2,43.35,43.3,43.4,0.2,2.6,2.4,""

